	8K_800X_NOCOMPRESS_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     57, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .34,         ,             ,          ,           ,        .11 per execution
     57, CAPSTONE  , STAT, opened cursors cumulative                                 ,            45,       3.05,         ,             ,          ,           ,          1 per execution
     57, CAPSTONE  , STAT, opened cursors current                                    ,            -1,       -.07,         ,             ,          ,           ,         -1 actual value in end of snapshot
     57, CAPSTONE  , STAT, user calls                                                ,             7,        .47,         ,             ,          ,           ,        .16 per execution
     57, CAPSTONE  , STAT, recursive calls                                           ,            65,        4.4,         ,             ,          ,           ,   307.69us recursive CPU per recursive call
     57, CAPSTONE  , STAT, recursive cpu usage                                       ,             2,        .14,         ,             ,          ,           ,       20ms total recursive CPU usage
     57, CAPSTONE  , STAT, session logical reads                                     ,         67812,      4.59k,         ,             ,          ,           ,     67.82k total buffer visits
     57, CAPSTONE  , STAT, CPU used by this session                                  ,           295,      19.96,         ,             ,          ,           ,      2.95s total CPU used by this session
     57, CAPSTONE  , STAT, DB time                                                   ,          1108,      74.99,         ,             ,          ,           ,      24.62 per execution
     57, CAPSTONE  , STAT, user I/O wait time                                        ,           906,      61.32,         ,             ,          ,           ,      20.13 per execution
     57, CAPSTONE  , STAT, non-idle wait time                                        ,           906,      61.32,         ,             ,          ,           ,      20.13 per execution
     57, CAPSTONE  , STAT, non-idle wait count                                       ,           594,       40.2,         ,             ,          ,           ,       13.2 per execution
     57, CAPSTONE  , STAT, process last non-idle time                                ,            81,       5.48,         ,             ,          ,           ,        1.8 per execution
     57, CAPSTONE  , STAT, enqueue requests                                          ,             5,        .34,         ,             ,          ,           ,        .11 per execution
     57, CAPSTONE  , STAT, enqueue releases                                          ,             5,        .34,         ,             ,          ,           ,        .11 per execution
     57, CAPSTONE  , STAT, physical read total IO requests                           ,           562,      38.03,         ,             ,          ,           ,    985.88k bytes per request
     57, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      35.87,         ,             ,          ,           ,         32 total single block read requests
     57, CAPSTONE  , STAT, physical read total bytes                                 ,     554065920,      37.5M,         ,             ,          ,           ,     12.31M per execution
     57, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554065920,      37.5M,         ,             ,          ,           ,     12.31M per execution
     57, CAPSTONE  , STAT, db block gets                                             ,             8,        .54,         ,             ,          ,           ,        .18 per execution
     57, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .54,         ,             ,          ,           ,        .18 per execution
     57, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             8,        .54,         ,             ,          ,           ,        .18 per execution
     57, CAPSTONE  , STAT, consistent gets                                           ,         67804,      4.59k,         ,             ,          ,           ,      1.51k per execution
     57, CAPSTONE  , STAT, consistent gets from cache                                ,           242,      16.38,         ,             ,          ,           ,       5.38 per execution
     57, CAPSTONE  , STAT, consistent gets pin                                       ,           173,      11.71,         ,             ,          ,           ,       3.84 per execution
     57, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           155,      10.49,         ,             ,          ,           ,       3.44 per execution
     57, CAPSTONE  , STAT, consistent gets examination                               ,            69,       4.67,         ,             ,          ,           ,       1.53 per execution
     57, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,            64,       4.33,         ,             ,          ,           ,       1.42 per execution
     57, CAPSTONE  , STAT, consistent gets direct                                    ,         67562,      4.57k,         ,             ,          ,           ,       1.5k per execution
     57, CAPSTONE  , STAT, logical read bytes from cache                             ,       2048000,     138.6k,         ,             ,          ,           ,     45.51k per execution
     57, CAPSTONE  , STAT, physical reads                                            ,         67635,      4.58k,         ,             ,          ,           ,       1.5k per execution
     57, CAPSTONE  , STAT, physical reads cache                                      ,            73,       4.94,         ,             ,          ,           ,       1.62 per execution
     57, CAPSTONE  , STAT, physical reads direct                                     ,         67562,      4.57k,         ,             ,          ,           ,       1.5k per execution
     57, CAPSTONE  , STAT, physical read IO requests                                 ,           562,      38.03,         ,             ,          ,           ,    985.88k bytes per request
     57, CAPSTONE  , STAT, physical read bytes                                       ,     554065920,      37.5M,         ,             ,          ,           ,     12.31M per execution
     57, CAPSTONE  , STAT, free buffer requested                                     ,            73,       4.94,         ,             ,          ,           ,       1.62 per execution
     57, CAPSTONE  , STAT, physical reads cache prefetch                             ,            50,       3.38,         ,             ,          ,           ,       1.11 per execution
     57, CAPSTONE  , STAT, shared hash latch upgrades - no wait                      ,             6,        .41,         ,             ,          ,           ,        .13 per execution
     57, CAPSTONE  , STAT, calls to kcmgcs                                           ,            25,       1.69,         ,             ,          ,           ,        .56 per execution
     57, CAPSTONE  , STAT, calls to get snapshot scn: kcmgss                         ,            51,       3.45,         ,             ,          ,           ,       1.13 per execution
     57, CAPSTONE  , STAT, file io service time                                      ,          3324,     224.96,         ,             ,          ,           ,     5.91us bad guess of IO service time per IO request
     57, CAPSTONE  , STAT, file io wait time                                         ,       9047361,     612.3k,         ,             ,          ,           ,     16.1ms bad guess of IO wait time per IO request
     57, CAPSTONE  , STAT, Number of read IOs issued                                 ,           539,      36.48,         ,             ,          ,           ,      11.98 per execution
     57, CAPSTONE  , STAT, no work - consistent read gets                            ,         67703,      4.58k,         ,             ,          ,           ,       1.5k per execution
     57, CAPSTONE  , STAT, table scans (short tables)                                ,             5,        .34,         ,             ,          ,           ,        .11 per execution
     57, CAPSTONE  , STAT, table scans (long tables)                                 ,             1,        .07,         ,             ,          ,           ,        .02 per execution
