	8K_800X_NOCOMPRESS_RAND_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     63, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .33,         ,             ,          ,           ,        .03 per execution
     63, CAPSTONE  , STAT, opened cursors cumulative                                 ,           144,       9.44,         ,             ,          ,           ,          1 per execution
     63, CAPSTONE  , STAT, user calls                                                ,             7,        .46,         ,             ,          ,           ,        .05 per execution
     63, CAPSTONE  , STAT, recursive calls                                           ,           259,      16.98,         ,             ,          ,           ,    77.22us recursive CPU per recursive call
     63, CAPSTONE  , STAT, recursive cpu usage                                       ,             2,        .13,         ,             ,          ,           ,       20ms total recursive CPU usage
     63, CAPSTONE  , STAT, session logical reads                                     ,         68107,      4.47k,         ,             ,          ,           ,     68.12k total buffer visits
     63, CAPSTONE  , STAT, CPU used when call started                                ,           358,      23.47,         ,             ,          ,           ,      3.58s total CPU used when call started
     63, CAPSTONE  , STAT, CPU used by this session                                  ,           358,      23.47,         ,             ,          ,           ,      3.58s total CPU used by this session
     63, CAPSTONE  , STAT, DB time                                                   ,           878,      57.56,         ,             ,          ,           ,        6.1 per execution
     63, CAPSTONE  , STAT, user I/O wait time                                        ,           603,      39.53,         ,             ,          ,           ,       4.19 per execution
     63, CAPSTONE  , STAT, non-idle wait time                                        ,           602,      39.47,         ,             ,          ,           ,       4.18 per execution
     63, CAPSTONE  , STAT, non-idle wait count                                       ,           634,      41.57,         ,             ,          ,           ,        4.4 per execution
     63, CAPSTONE  , STAT, process last non-idle time                                ,            48,       3.15,         ,             ,          ,           ,        .33 per execution
     63, CAPSTONE  , STAT, session uga memory max                                    ,       1784168,    116.98k,         ,             ,          ,           ,      1.78M actual value in end of snapshot
     63, CAPSTONE  , STAT, enqueue requests                                          ,            13,        .85,         ,             ,          ,           ,        .09 per execution
     63, CAPSTONE  , STAT, enqueue releases                                          ,            13,        .85,         ,             ,          ,           ,        .09 per execution
     63, CAPSTONE  , STAT, physical read total IO requests                           ,           601,       39.4,         ,             ,          ,           ,    921.92k bytes per request
     63, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      34.75,         ,             ,          ,           ,         71 total single block read requests
     63, CAPSTONE  , STAT, physical read total bytes                                 ,     554074112,     36.33M,         ,             ,          ,           ,      3.85M per execution
     63, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554074112,     36.33M,         ,             ,          ,           ,      3.85M per execution
     63, CAPSTONE  , STAT, db block gets                                             ,             8,        .52,         ,             ,          ,           ,        .06 per execution
     63, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .52,         ,             ,          ,           ,        .06 per execution
     63, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             8,        .52,         ,             ,          ,           ,        .06 per execution
     63, CAPSTONE  , STAT, consistent gets                                           ,         68099,      4.46k,         ,             ,          ,           ,     472.91 per execution
     63, CAPSTONE  , STAT, consistent gets from cache                                ,           575,       37.7,         ,             ,          ,           ,       3.99 per execution
     63, CAPSTONE  , STAT, consistent gets pin                                       ,           348,      22.82,         ,             ,          ,           ,       2.42 per execution
     63, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           298,      19.54,         ,             ,          ,           ,       2.07 per execution
     63, CAPSTONE  , STAT, consistent gets examination                               ,           227,      14.88,         ,             ,          ,           ,       1.58 per execution
     63, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           215,       14.1,         ,             ,          ,           ,       1.49 per execution
     63, CAPSTONE  , STAT, consistent gets direct                                    ,         67524,      4.43k,         ,             ,          ,           ,     468.92 per execution
     63, CAPSTONE  , STAT, logical read bytes from cache                             ,       4775936,    313.12k,         ,             ,          ,           ,     33.17k per execution
     63, CAPSTONE  , STAT, physical reads                                            ,         67636,      4.43k,         ,             ,          ,           ,     469.69 per execution
     63, CAPSTONE  , STAT, physical reads cache                                      ,           112,       7.34,         ,             ,          ,           ,        .78 per execution
