	8K_800X_NOCOMPRESS_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     58, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .32,         ,             ,          ,           ,        .05 per execution
     58, CAPSTONE  , STAT, opened cursors cumulative                                 ,            91,       5.89,         ,             ,          ,           ,          1 per execution
     58, CAPSTONE  , STAT, user calls                                                ,             7,        .45,         ,             ,          ,           ,        .08 per execution
     58, CAPSTONE  , STAT, recursive calls                                           ,           197,      12.75,         ,             ,          ,           ,   101.52us recursive CPU per recursive call
     58, CAPSTONE  , STAT, recursive cpu usage                                       ,             2,        .13,         ,             ,          ,           ,       20ms total recursive CPU usage
     58, CAPSTONE  , STAT, session logical reads                                     ,         67981,       4.4k,         ,             ,          ,           ,     67.99k total buffer visits
     58, CAPSTONE  , STAT, CPU used when call started                                ,           301,      19.48,         ,             ,          ,           ,      3.01s total CPU used when call started
     58, CAPSTONE  , STAT, CPU used by this session                                  ,           301,      19.48,         ,             ,          ,           ,      3.01s total CPU used by this session
     58, CAPSTONE  , STAT, DB time                                                   ,           927,         60,         ,             ,          ,           ,      10.19 per execution
     58, CAPSTONE  , STAT, user I/O wait time                                        ,           713,      46.15,         ,             ,          ,           ,       7.84 per execution
     58, CAPSTONE  , STAT, non-idle wait time                                        ,           712,      46.08,         ,             ,          ,           ,       7.82 per execution
     58, CAPSTONE  , STAT, non-idle wait count                                       ,           598,       38.7,         ,             ,          ,           ,       6.57 per execution
     58, CAPSTONE  , STAT, process last non-idle time                                ,            53,       3.43,         ,             ,          ,           ,        .58 per execution
     58, CAPSTONE  , STAT, session uga memory max                                    ,       1594120,    103.17k,         ,             ,          ,           ,      1.59M actual value in end of snapshot
     58, CAPSTONE  , STAT, enqueue requests                                          ,            10,        .65,         ,             ,          ,           ,        .11 per execution
     58, CAPSTONE  , STAT, enqueue releases                                          ,            10,        .65,         ,             ,          ,           ,        .11 per execution
     58, CAPSTONE  , STAT, physical read total IO requests                           ,           563,      36.44,         ,             ,          ,           ,    984.15k bytes per request
     58, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,       34.3,         ,             ,          ,           ,         33 total single block read requests
     58, CAPSTONE  , STAT, physical read total bytes                                 ,     554074112,     35.86M,         ,             ,          ,           ,      6.09M per execution
     58, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554074112,     35.86M,         ,             ,          ,           ,      6.09M per execution
     58, CAPSTONE  , STAT, db block gets                                             ,             8,        .52,         ,             ,          ,           ,        .09 per execution
     58, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .52,         ,             ,          ,           ,        .09 per execution
     58, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             8,        .52,         ,             ,          ,           ,        .09 per execution
     58, CAPSTONE  , STAT, consistent gets                                           ,         67973,       4.4k,         ,             ,          ,           ,     746.96 per execution
