	8K_800X_NOCOMPRESS_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     59, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .32,         ,             ,          ,           ,        .07 per execution
     59, CAPSTONE  , STAT, opened cursors cumulative                                 ,            75,       4.87,         ,             ,          ,           ,          1 per execution
     59, CAPSTONE  , STAT, user calls                                                ,             7,        .45,         ,             ,          ,           ,        .09 per execution
     59, CAPSTONE  , STAT, recursive calls                                           ,           186,      12.08,         ,             ,          ,           ,   107.53us recursive CPU per recursive call
     59, CAPSTONE  , STAT, recursive cpu usage                                       ,             2,        .13,         ,             ,          ,           ,       20ms total recursive CPU usage
     59, CAPSTONE  , STAT, session logical reads                                     ,         67913,      4.41k,         ,             ,          ,           ,     67.92k total buffer visits
     59, CAPSTONE  , STAT, CPU used when call started                                ,           302,      19.61,         ,             ,          ,           ,      3.02s total CPU used when call started
     59, CAPSTONE  , STAT, CPU used by this session                                  ,           302,      19.61,         ,             ,          ,           ,      3.02s total CPU used by this session
     59, CAPSTONE  , STAT, DB time                                                   ,          1223,      79.42,         ,             ,          ,           ,      16.31 per execution
     59, CAPSTONE  , STAT, user I/O wait time                                        ,          1010,      65.58,         ,             ,          ,           ,      13.47 per execution
     59, CAPSTONE  , STAT, non-idle wait time                                        ,          1010,      65.58,         ,             ,          ,           ,      13.47 per execution
     59, CAPSTONE  , STAT, non-idle wait count                                       ,           604,      39.22,         ,             ,          ,           ,       8.05 per execution
     59, CAPSTONE  , STAT, process last non-idle time                                ,           117,        7.6,         ,             ,          ,           ,       1.56 per execution
     59, CAPSTONE  , STAT, enqueue requests                                          ,             7,        .45,         ,             ,          ,           ,        .09 per execution
     59, CAPSTONE  , STAT, enqueue releases                                          ,             7,        .45,         ,             ,          ,           ,        .09 per execution
     59, CAPSTONE  , STAT, physical read total IO requests                           ,           571,      37.08,         ,             ,          ,           ,    970.47k bytes per request
     59, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      34.42,         ,             ,          ,           ,         41 total single block read requests
     59, CAPSTONE  , STAT, physical read total bytes                                 ,     554139648,     35.98M,         ,             ,          ,           ,      7.39M per execution
     59, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554139648,     35.98M,         ,             ,          ,           ,      7.39M per execution
     59, CAPSTONE  , STAT, db block gets                                             ,             8,        .52,         ,             ,          ,           ,        .11 per execution
     59, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .52,         ,             ,          ,           ,        .11 per execution
     59, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             8,        .52,         ,             ,          ,           ,        .11 per execution
     59, CAPSTONE  , STAT, consistent gets                                           ,         67905,      4.41k,         ,             ,          ,           ,      905.4 per execution
     59, CAPSTONE  , STAT, consistent gets from cache                                ,           343,      22.27,         ,             ,          ,           ,       4.57 per execution
     59, CAPSTONE  , STAT, consistent gets pin                                       ,           226,      14.68,         ,             ,          ,           ,       3.01 per execution
     59, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           201,      13.05,         ,             ,          ,           ,       2.68 per execution
     59, CAPSTONE  , STAT, consistent gets examination                               ,           117,        7.6,         ,             ,          ,           ,       1.56 per execution
     59, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           110,       7.14,         ,             ,          ,           ,       1.47 per execution
     59, CAPSTONE  , STAT, consistent gets direct                                    ,         67562,      4.39k,         ,             ,          ,           ,     900.83 per execution
