	8K_800X_NOCOMPRESS_LARGE
    SID, USERNAME  , TYPE, STATISTIC                                                 ,         DELTA, HDELTA/SEC,    %TIME, GRAPH       , NUM_WAITS,  WAITS/SEC,   AVERAGES                                    
     61, CAPSTONE  , STAT, Requests to/from client                                   ,             5,        .33,         ,             ,          ,           ,        .03 per execution
     61, CAPSTONE  , STAT, opened cursors cumulative                                 ,           145,       9.64,         ,             ,          ,           ,          1 per execution
     61, CAPSTONE  , STAT, opened cursors current                                    ,            -1,       -.07,         ,             ,          ,           ,         -1 actual value in end of snapshot
     61, CAPSTONE  , STAT, user calls                                                ,             7,        .47,         ,             ,          ,           ,        .05 per execution
     61, CAPSTONE  , STAT, recursive calls                                           ,           293,      19.47,         ,             ,          ,           ,   136.52us recursive CPU per recursive call
     61, CAPSTONE  , STAT, recursive cpu usage                                       ,             4,        .27,         ,             ,          ,           ,       40ms total recursive CPU usage
     61, CAPSTONE  , STAT, session logical reads                                     ,         68147,      4.53k,         ,             ,          ,           ,     68.16k total buffer visits
     61, CAPSTONE  , STAT, CPU used by this session                                  ,           267,      17.74,         ,             ,          ,           ,      2.67s total CPU used by this session
     61, CAPSTONE  , STAT, DB time                                                   ,          1109,       73.7,         ,             ,          ,           ,       7.65 per execution
     61, CAPSTONE  , STAT, user I/O wait time                                        ,           905,      60.14,         ,             ,          ,           ,       6.24 per execution
     61, CAPSTONE  , STAT, non-idle wait time                                        ,           905,      60.14,         ,             ,          ,           ,       6.24 per execution
     61, CAPSTONE  , STAT, non-idle wait count                                       ,           642,      42.67,         ,             ,          ,           ,       4.43 per execution
     61, CAPSTONE  , STAT, process last non-idle time                                ,            93,       6.18,         ,             ,          ,           ,        .64 per execution
     61, CAPSTONE  , STAT, session pga memory                                        ,       -131072,     -8.71k,         ,             ,          ,           ,   -131.07k actual value in end of snapshot
     61, CAPSTONE  , STAT, enqueue requests                                          ,            14,        .93,         ,             ,          ,           ,         .1 per execution
     61, CAPSTONE  , STAT, enqueue releases                                          ,            14,        .93,         ,             ,          ,           ,         .1 per execution
     61, CAPSTONE  , STAT, physical read total IO requests                           ,           606,      40.27,         ,             ,          ,           ,    914.89k bytes per request
     61, CAPSTONE  , STAT, physical read total multi block requests                  ,           530,      35.22,         ,             ,          ,           ,         76 total single block read requests
     61, CAPSTONE  , STAT, physical read total bytes                                 ,     554426368,     36.85M,         ,             ,          ,           ,      3.82M per execution
     61, CAPSTONE  , STAT, cell physical IO interconnect bytes                       ,     554426368,     36.85M,         ,             ,          ,           ,      3.82M per execution
     61, CAPSTONE  , STAT, db block gets                                             ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     61, CAPSTONE  , STAT, db block gets from cache                                  ,             8,        .53,         ,             ,          ,           ,        .06 per execution
     61, CAPSTONE  , STAT, db block gets from cache (fastpath)                       ,             6,         .4,         ,             ,          ,           ,        .04 per execution
     61, CAPSTONE  , STAT, consistent gets                                           ,         68139,      4.53k,         ,             ,          ,           ,     469.92 per execution
     61, CAPSTONE  , STAT, consistent gets from cache                                ,           577,      38.35,         ,             ,          ,           ,       3.98 per execution
     61, CAPSTONE  , STAT, consistent gets pin                                       ,           349,      23.19,         ,             ,          ,           ,       2.41 per execution
     61, CAPSTONE  , STAT, consistent gets pin (fastpath)                            ,           297,      19.74,         ,             ,          ,           ,       2.05 per execution
     61, CAPSTONE  , STAT, consistent gets examination                               ,           228,      15.15,         ,             ,          ,           ,       1.57 per execution
     61, CAPSTONE  , STAT, consistent gets examination (fastpath)                    ,           215,      14.29,         ,             ,          ,           ,       1.48 per execution
     61, CAPSTONE  , STAT, consistent gets direct                                    ,         67562,      4.49k,         ,             ,          ,           ,     465.94 per execution
     61, CAPSTONE  , STAT, logical read bytes from cache                             ,       4792320,    318.48k,         ,             ,          ,           ,     33.05k per execution
     61, CAPSTONE  , STAT, physical reads                                            ,         67679,       4.5k,         ,             ,          ,           ,     466.75 per execution
     61, CAPSTONE  , STAT, physical reads cache                                      ,           117,       7.78,         ,             ,          ,           ,        .81 per execution
     61, CAPSTONE  , STAT, physical reads direct                                     ,         67562,      4.49k,         ,             ,          ,           ,     465.94 per execution
     61, CAPSTONE  , STAT, physical read IO requests                                 ,           606,      40.27,         ,             ,          ,           ,    914.89k bytes per request
     61, CAPSTONE  , STAT, physical read bytes                                       ,     554426368,     36.85M,         ,             ,          ,           ,      3.82M per execution
     61, CAPSTONE  , STAT, free buffer requested                                     ,           117,       7.78,         ,             ,          ,           ,        .81 per execution
     61, CAPSTONE  , STAT, physical reads cache prefetch                             ,            50,       3.32,         ,             ,          ,           ,        .34 per execution
     61, CAPSTONE  , STAT, shared hash latch upgrades - no wait                      ,            48,       3.19,         ,             ,          ,           ,        .33 per execution
     61, CAPSTONE  , STAT, calls to kcmgcs                                           ,            33,       2.19,         ,             ,          ,           ,        .23 per execution
     61, CAPSTONE  , STAT, calls to get snapshot scn: kcmgss                         ,           168,      11.16,         ,             ,          ,           ,       1.16 per execution
     61, CAPSTONE  , STAT, file io service time                                      ,          2866,     190.46,         ,             ,          ,           ,     4.73us bad guess of IO service time per IO request
     61, CAPSTONE  , STAT, file io wait time                                         ,       9035013,    600.44k,         ,             ,          ,           ,    14.91ms bad guess of IO wait time per IO request
     61, CAPSTONE  , STAT, Number of read IOs issued                                 ,           539,      35.82,         ,             ,          ,           ,       3.72 per execution
     61, CAPSTONE  , STAT, no work - consistent read gets                            ,         67869,      4.51k,         ,             ,          ,           ,     468.06 per execution
     61, CAPSTONE  , STAT, table scans (short tables)                                ,             9,         .6,         ,             ,          ,           ,        .06 per execution
     61, CAPSTONE  , STAT, table scans (long tables)                                 ,             1,        .07,         ,             ,          ,           ,        .01 per execution
     61, CAPSTONE  , STAT, table scans (direct read)                                 ,             1,        .07,         ,             ,          ,           ,        .01 per execution
     61, CAPSTONE  , STAT, table scan rows gotten                                    ,      10015612,     665.6k,         ,             ,          ,           ,     69.07k per execution
     61, CAPSTONE  , STAT, table scan disk non-IMC rows gotten                       ,      10015612,     665.6k,         ,             ,          ,           ,     69.07k per execution
     61, CAPSTONE  , STAT, table scan blocks gotten                                  ,         67676,       4.5k,         ,             ,          ,           ,     466.73 per execution
     61, CAPSTONE  , STAT, table fetch by rowid                                      ,            67,       4.45,         ,             ,          ,           ,        .46 per execution
     61, CAPSTONE  , STAT, cluster key scans                                         ,            60,       3.99,         ,             ,          ,           ,        .41 per execution
